#,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per ft. in Lbs.,Total Price,NOTES:
,Item #,Thickness,Width,Available Length,Materials,Weight Per Ft. in Lbs.,ft.,lb.,$,$,
250,FL1343,1 3/4 in,3 in,20 ft,Carbon SteelSteel,17.850,,0.000,$0.95,$0.00,
251,FL134312,1 3/4 in,3 1/2 in,20 ft,Carbon SteelSteel,20.825,,0.000,$0.95,$0.00,
252,FL1344,1 3/4 in,4 in,20 ft,Carbon SteelSteel,23.822,,0.000,$0.95,$0.00,
253,FL134412,1 3/4 in,4 1/2 in,20 ft,Carbon SteelSteel,26.775,,0.000,$0.95,$0.00,
254,FL1345,1 3/4 in,5 in,20 ft,Carbon SteelSteel,29.800,,0.000,$0.95,$0.00,
255,FL1346,1 3/4 in,6 in,20 ft,Carbon SteelSteel,35.700,,0.000,$0.95,$0.00,
256,FL1347,1 3/4 in,7 in,20 ft,Carbon SteelSteel,41.700,,0.000,$0.95,$0.00,
257,FL1348,1 3/4 in,8 in,20 ft,Carbon SteelSteel,47.600,,0.000,$0.95,$0.00,
258,FL1349,1 3/4 in,9 in,20 ft,Carbon SteelSteel,53.600,,0.000,$0.95,$0.00,
259,FL13410,1 3/4 in,10 in,20 ft,Carbon SteelSteel,59.556,,0.000,$0.95,$0.00,
260,FL13411,1 3/4 in,11 in,20 ft,Carbon SteelSteel,65.500,,0.000,$0.95,$0.00,
261,FL13412,1 3/4 in,12 in,20 ft,Carbon SteelSteel,71.500,,0.000,$0.95,$0.00,
262,FL2212,2 in,2 1/2 in,20 ft,Carbon SteelSteel,17.000,,0.000,$0.95,$0.00,
263,FL23,2 in,3 in,20 ft,Carbon SteelSteel,20.420,,0.000,$0.95,$0.00,
264,FL2312,2 in,3 1/2 in,20 ft,Carbon SteelSteel,23.800,,0.000,$0.95,$0.00,
265,FL24,2 in,4 in,20 ft,Carbon SteelSteel,27.225,,0.000,$0.95,$0.00,
266,FL2412,2 in,4 1/2 in,20 ft,Carbon SteelSteel,30.600,,0.000,$0.95,$0.00,
267,FL25,2 in,5 in,20 ft,Carbon SteelSteel,34.000,,0.000,$0.95,$0.00,
268,FL26,2 in,6 in,20 ft,Carbon SteelSteel,40.830,,0.000,$0.95,$0.00,
269,FL27,2 in,7 in,20 ft,Carbon SteelSteel,47.600,,0.000,$0.95,$0.00,
270,FL28,2 in,8 in,20 ft,Carbon SteelSteel,54.450,,0.000,$0.95,$0.00,
271,FL29,2 in,9 in,20 ft,Carbon SteelSteel,61.200,,0.000,$0.95,$0.00,
272,FL210,2 in,10 in,20 ft,Carbon SteelSteel,68.100,,0.000,$0.95,$0.00,
273,FL211,2 in,11 in,20 ft,Carbon SteelSteel,74.900,,0.000,$0.95,$0.00,
274,FL212,2 in,12 in,20 ft,Carbon SteelSteel,81.700,,0.000,$0.95,$0.00,
275,FL2123,2 1/2 in,3 in,20 ft,Carbon SteelSteel,25.500,,0.000,$0.95,$0.00,
276,FL212312,2 1/2 in,3 1/2 in,20 ft,Carbon SteelSteel,29.750,,0.000,$0.95,$0.00,
277,FL2124,2 1/2 in,4 in,20 ft,Carbon SteelSteel,34.032,,0.000,$0.95,$0.00,
278,FL212412,2 1/2 in,4 1/2 in,20 ft,Carbon SteelSteel,38.250,,0.000,$0.95,$0.00,
279,FL2125,2 1/2 in,5 in,20 ft,Carbon SteelSteel,42.500,,0.000,$0.95,$0.00,
280,FL2126,2 1/2 in,6 in,20 ft,Carbon SteelSteel,51.000,,0.000,$0.95,$0.00,
281,FL2127,2 1/2 in,7 in,20 ft,Carbon SteelSteel,59.500,,0.000,$0.95,$0.00,
282,FL2128,2 1/2 in,8 in,20 ft,Carbon SteelSteel,68.100,,0.000,$0.95,$0.00,
283,FL2129,2 1/2 in,9 in,20 ft,Carbon SteelSteel,76.560,,0.000,$0.95,$0.00,
284,FL21210,2 1/2 in,10 in,20 ft,Carbon SteelSteel,85.010,,0.000,$0.95,$0.00,
285,FL21211,2 1/2 in,11 in,20 ft,Carbon SteelSteel,93.600,,0.000,$0.95,$0.00,
286,FL21212,2 1/2 in,12 in,20 ft,Carbon SteelSteel,102.100,,0.000,$0.95,$0.00,
287,FL34,3 in,4 in,20 ft,Carbon SteelSteel,40.800,,0.000,$0.95,$0.00,
288,FL341/2,3 in,4 1/2 in,20 ft,Carbon SteelSteel,45.900,,0.000,$0.95,$0.00,
289,FL35,3 in,5 in,20 ft,Carbon SteelSteel,51.000,,0.000,$0.95,$0.00,
290,FL36,3 in,6 in,20 ft,Carbon SteelSteel,61.200,,0.000,$0.95,$0.00,
291,FL37,3 in,7 in,20 ft,Carbon SteelSteel,71.500,,0.000,$0.95,$0.00,
292,FL38,3 in,8 in,20 ft,Carbon SteelSteel,81.700,,0.000,$0.95,$0.00,
293,FL39,3 in,9 in,20 ft,Carbon SteelSteel,91.900,,0.000,$0.95,$0.00,
294,FL310,3 in,10 in,20 ft,Carbon SteelSteel,102.100,,0.000,$0.95,$0.00,
295,FL311,3 in,11 in,20 ft,Carbon SteelSteel,112.300,,0.000,$0.95,$0.00,
296,FL312,3 in,12 in,20 ft,Carbon SteelSteel,122.500,,0.000,$0.95,$0.00,
297,FL3162,3/16 in,2 in,20 ft40 ft,Carbon SteelSteel,1.279,,0.000,$0.95,$0.00,
298,FL316212,3/16 in,2 1/2 in,20 ft40 ft,Carbon SteelSteel,1.600,,0.000,$0.95,$0.00,
299,FL3163,3/16 in,3 in,20 ft40 ft,Carbon SteelSteel,1.919,,0.000,$0.95,$0.00,
300,FL3161,3/16 in,1 in,20 ft40 ft,Carbon SteelSteel,0.638,,0.000,$0.95,$0.00,
301,FL316114,3/16 in,1 1/4 in,20 ft40 ft,Carbon SteelSteel,0.800,,0.000,$0.95,$0.00,
302,FL316112,3/16 in,1 1/2 in,20 ft40 ft,Carbon SteelSteel,0.956,,0.000,$0.95,$0.00,
303,FL3166,3/16 in,6 in,20 ft40 ft,Carbon SteelSteel,3.830,,0.000,$0.95,$0.00,
304,FL3168,3/16 in,8 in,20 ft40 ft,Carbon SteelSteel,5.100,,0.000,$0.95,$0.00,
305,FL1312,1 in,3 1/2 in,20 ft40 ft,Carbon SteelSteel,11.900,,0.000,$0.95,$0.00,
306,FL316312,3/16 in,3 1/2 in,20 ft40 ft,Carbon SteelSteel,2.231,,0.000,$0.95,$0.00,
307,FL3164,3/16 in,4 in,20 ft40 ft,Carbon SteelSteel,2.559,,0.000,$0.95,$0.00,
308,FL3165,3/16 in,5 in,20 ft40 ft,Carbon SteelSteel,3.190,,0.000,$0.95,$0.00,
309,FL31634,3/16 in,3/4 in,20 ft40 ft,Carbon SteelSteel,0.478,,0.000,$0.95,$0.00,
310,FL18112,1/8 in,1 1/2 in,20 ft40 ft,Carbon SteelSteel,0.638,,0.000,$0.95,$0.00,
311,FL182,1/8 in,2 in,20 ft40 ft,Carbon SteelSteel,0.850,,0.000,$0.95,$0.00,
312,FL18212,1/8 in,2 1/2 in,20 ft40 ft,Carbon SteelSteel,1.060,,0.000,$0.95,$0.00,
313,FL1812,1/8 in,1/2 in,20 ft40 ft,Carbon SteelSteel,0.213,,0.000,$0.95,$0.00,
314,FL1834,1/8 in,3/4 in,20 ft40 ft,Carbon SteelSteel,0.319,,0.000,$0.95,$0.00,
315,FL18114,1/8 in,1 1/4 in,20 ft40 ft,Carbon SteelSteel,0.531,,0.000,$0.95,$0.00,
316,FL185,1/8 in,5 in,20 ft40 ft,Carbon SteelSteel,2.130,,0.000,$0.95,$0.00,
317,FL186,1/8 in,6 in,20 ft40 ft,Carbon SteelSteel,2.550,,0.000,$0.95,$0.00,
318,FL31612,3/16 in,1/2 in,20 ft40 ft,Carbon SteelSteel,0.319,,0.000,$0.95,$0.00,
319,FL183,1/8 in,3 in,20 ft40 ft,Carbon SteelSteel,1.280,,0.000,$0.95,$0.00,
320,FL18312,1/8 in,3 1/2 in,20 ft40 ft,Carbon SteelSteel,1.490,,0.000,$0.95,$0.00,
321,FL184,1/8 in,4 in,20 ft40 ft,Carbon SteelSteel,1.700,,0.000,$0.95,$0.00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Grand Total $,Tab Link to Grand Totals
,,,,,,Totals,0,0,,$0.00,
